time,close,EMA,EMA,EMA,Volume
1996-01-31,5840100000000,NaN,NaN,NaN,NaN
1996-02-29,6377800000000,NaN,NaN,NaN,NaN
1996-03-29,6451100000000,NaN,NaN,NaN,NaN
1996-03-31,6451100000000,NaN,NaN,NaN,NaN
1996-04-30,6572300000000,NaN,NaN,NaN,NaN
1996-05-31,6688000000000,NaN,NaN,NaN,NaN
1996-06-30,6813200000000,NaN,NaN,NaN,NaN
1996-07-31,6934600000000,NaN,NaN,NaN,NaN
1996-08-30,7230900000000,NaN,6595455555555.556,NaN,NaN
1996-08-31,7230900000000,NaN,6722544444444.444,NaN,NaN
1996-09-30,6964300000000,NaN,6770895555555.556,NaN,NaN
1996-10-31,7315220000000,NaN,6879760444444.444,NaN,NaN
1996-11-29,7414200000000,NaN,6986648355555.556,NaN,NaN
1996-11-30,7414200000000,NaN,7072158684444.444,NaN,NaN
1996-12-31,7609490000000,NaN,7179624947555.556,NaN,NaN
1997-01-31,7833150000000,NaN,7310329958044.444,NaN,NaN
1997-02-28,7868070000000,NaN,7421877966435.556,NaN,NaN
1997-03-31,7973580000000,NaN,7532218373148.444,NaN,NaN
1997-04-30,8067900000000,NaN,7639354698518.756,NaN,NaN
1997-05-30,8116860000000,NaN,7734855758815.005,NaN,NaN
1997-05-31,8116860000000,NaN,7811256607052.004,NaN,NaN
1997-06-30,8281150000000,NaN,7905235285641.604,NaN,NaN
1997-07-31,8345850000000,NaN,7993358228513.283,NaN,NaN
1997-08-29,8474590000000,NaN,8089604582810.627,NaN,NaN
1997-08-31,8474590000000,NaN,8166601666248.502,NaN,NaN
1997-09-30,8589240000000,NaN,8251129332998.802,NaN,NaN
1997-10-31,8664430000000,NaN,8333789466399.041,NaN,NaN
1997-11-30,8759030000000.001,NaN,8418837573119.233,NaN,NaN
1997-12-31,9099530000000,NaN,8554976058495.387,NaN,NaN
1998-01-30,9221140000000,NaN,8688208846796.31,NaN,NaN
1998-01-31,9221140000000,NaN,8794795077437.048,NaN,NaN
1998-02-28,9202370000000,NaN,8876310061949.639,NaN,NaN
1998-03-31,9203780000000,NaN,8941804049559.71,NaN,NaN
1998-04-30,9266150000000,NaN,9006673239647.77,NaN,NaN
1998-05-29,9393610000000,NaN,9084060591718.215,NaN,NaN
1998-05-31,9393610000000,NaN,9145970473374.572,NaN,NaN
1998-06-30,9465760000000,NaN,9209928378699.658,NaN,NaN
1998-07-31,9631390000000,NaN,9294220702959.727,NaN,NaN
1998-08-31,9729870000000,NaN,9381350562367.781,NaN,NaN
1998-09-30,9979450000000,NaN,9500970449894.225,NaN,NaN
1998-10-30,10087500000000,NaN,9618276359915.379,NaN,NaN
1998-10-31,10087500000000,NaN,9712121087932.303,NaN,NaN
1998-11-30,10222900000000,NaN,9814276870345.842,NaN,NaN
1998-12-31,10449900000000,NaN,9941401496276.674,NaN,NaN
1999-01-29,10550000000000,NaN,10063121197021.34,NaN,NaN
1999-01-31,10550000000000,NaN,10160496957617.072,NaN,NaN
1999-02-28,10777800000000,NaN,10283957566093.658,NaN,NaN
1999-03-31,10843800000000,NaN,10395926052874.926,NaN,NaN
1999-04-30,10921800000000,NaN,10501100842299.941,NaN,NaN
1999-05-31,11006100000000,8583556200000,10602100673839.953,NaN,NaN
1999-06-30,11136400000000,8683667721568.628,10708960539071.963,NaN,NaN
1999-07-30,11141400000000,8780049379546.329,10795448431257.57,NaN,NaN
1999-07-31,11141400000000,8872651364662.16,10864638745006.057,NaN,NaN
1999-08-31,11282700000000,8967163075851.879,10948250996004.846,NaN,NaN
1999-09-30,11507900000000,9066799817975.334,11060180796803.877,NaN,NaN
1999-10-29,11539000000000,9163748844721.398,11155944637443.102,NaN,NaN
1999-10-31,11539000000000,9256895948849.97,11232555709954.48,NaN,NaN
1999-11-30,11655900000000,9350974539091.148,11317224567963.584,NaN,NaN
1999-12-31,11989790000000,9454457498342.477,11451737654370.867,NaN,NaN
2000-01-31,12122040000000,9559068576838.85,11585798123496.693,NaN,NaN
2000-02-29,12158340000000,9661000789511.836,11700306498797.355,NaN,NaN
2000-03-31,12260680000000,9762948993844.705,11812381199037.885,NaN,NaN
2000-04-30,12412190000000,9866840798007.658,11932342959230.309,NaN,NaN
2000-05-31,12405330000000,9966389394164.22,12026940367384.246,NaN,NaN
2000-06-30,12660530000000,10072041966942.094,12153658293907.396,NaN,NaN
2000-07-31,12632390000000,10172447772160.05,12249404635125.918,NaN,NaN
2000-08-31,12779030000000,10274666683055.734,12355329708100.734,NaN,NaN
2000-09-29,13047380000000,10383400538622.176,12493739766480.588,NaN,NaN
2000-09-30,13047380000000,10487870321421.307,12604467813184.47,NaN,NaN
2000-10-31,12952240000000,10584512269600.863,12674022250547.576,NaN,NaN
2000-11-30,13099410000000,10683135710008.672,12759099800438.06,NaN,NaN
2000-12-29,13461030000000,10792072740988.725,12899485840350.45,NaN,NaN
2000-12-31,13461030000000,10896737731538.186,13011794672280.36,NaN,NaN
2001-01-31,13754360000000,11008801349909.236,13160307737824.287,NaN,NaN
2001-02-28,13621020000000,11111241296971.62,13252450190259.43,NaN,NaN
2001-03-30,13874450000000,11219602422580.576,13376850152207.543,NaN,NaN
2001-03-31,13874450000000,11323714092283.299,13476370121766.035,NaN,NaN
2001-04-30,13994990000000,11428470010232.973,13580094097412.828,NaN,NaN
2001-05-31,13901580000000,11525454715714.033,13644391277930.262,NaN,NaN
2001-06-29,14780970000000,11653121981764.463,13871707022344.209,NaN,NaN
2001-06-30,14780970000000,11775782688361.936,14053559617875.367,NaN,NaN
2001-07-31,14922870000000,11899197877053.625,14227421694300.293,NaN,NaN
2001-08-31,14994180000000,12020569725012.307,14380773355440.234,NaN,NaN
2001-09-30,15182020000000,12144548167168.688,14541022684352.188,NaN,NaN
2001-10-31,15149730000000,12262398435122.857,14662764147481.75,NaN,NaN
2001-11-30,15408830000000,12385787908255.295,14811977317985.4,NaN,NaN
2001-12-31,15830190000000,12520862500088.42,15015619854388.32,NaN,NaN
2002-01-31,15963930000000,12655884754986.914,15205281883510.656,NaN,NaN
2002-02-28,16093560000000,12790695548908.996,15382937506808.525,NaN,NaN
2002-03-29,16406460000000,12932490233265.506,15587642005446.82,NaN,NaN
2002-03-31,16406460000000,13068724341764.898,15751405604357.457,NaN,NaN
2002-04-30,16457060000000.002,13201600249930.98,15892536483485.967,NaN,NaN
2002-05-31,16602300000000,13334961024443.49,16034489186788.773,NaN,NaN
2002-06-30,16960119999999.998,13477124121524.137,16219615349431.018,NaN,NaN
2002-07-31,17085110000000,13618613763817.309,16392714279544.814,NaN,NaN
2002-08-30,17325090000000,13763965773079.375,16579189423635.852,NaN,NaN
2002-08-31,17325090000000,13903617703546.85,16728369538908.682,NaN,NaN
2002-09-30,17698520000000,14052437401446.973,16922399631126.945,NaN,NaN
2002-10-31,17729420000000,14196632797468.66,17083803704901.557,NaN,NaN
2002-11-29,17973630000000,14344750334822.83,17261768963921.246,NaN,NaN
2002-11-30,17973630000000,14487059341300.365,17404141171136.996,NaN,NaN
2002-12-31,18500700000000,14644457014190.547,17623452936909.598,NaN,NaN
2003-01-31,19054510000000,14817400268536.016,17909664349527.68,NaN,NaN
2003-02-28,19010840000000,14981848885456.172,18129899479622.145,NaN,NaN
2003-03-31,19448730000000,15157020693869.656,18393665583697.715,NaN,NaN
2003-04-30,19613010000000,15331765372541.434,18637534466958.17,NaN,NaN
2003-05-30,19950520000000,15512893004990.79,18900131573566.54,NaN,NaN
2003-05-31,19950520000000,15686917593030.365,19110209258853.23,NaN,NaN
2003-06-30,20490740000000,15875302785460.547,19386315407082.586,NaN,NaN
2003-07-31,20619310000000,16061342284069.938,19632914325666.07,NaN,NaN
2003-08-29,21059190000000,16257336312145.627,19918169460532.855,NaN,NaN
2003-08-31,21059190000000,16445644299904.621,20146373568426.285,NaN,NaN
2003-09-30,21356710000000,16638235111673.066,20388440854741.027,NaN,NaN
2003-10-31,21446940000000,16826811773960.396,20600140683792.82,NaN,NaN
2003-11-30,21635170000000,17015374841648.225,20807146547034.258,NaN,NaN
2003-12-31,22122280000000,17215645632171.824,21070173237627.406,NaN,NaN
2004-01-30,22510190000000,17423274823067.047,21358176590101.926,NaN,NaN
2004-01-31,22510190000000,17622761692750.69,21588579272081.54,NaN,NaN
2004-02-29,22705070000000,17822067900878.117,21811877417665.23,NaN,NaN
2004-03-31,23165460000000,18031612689078.977,22082593934132.184,NaN,NaN
2004-04-30,23362790000000,18240678465977.84,22338633147305.746,NaN,NaN
2004-05-31,23484240000000,18446308330057.14,22567754517844.598,NaN,NaN
2004-06-30,23842750000000,18657933493584.312,22822753614275.68,NaN,NaN
2004-07-30,23812700000000,18860081199718.26,23020742891420.543,NaN,NaN
2004-07-31,23812700000000,19054301544827.348,23179134313136.434,NaN,NaN
2004-08-31,23972920000000,19247188543069.414,23337891450509.15,NaN,NaN
2004-09-30,24375690000000,19448306247262.77,23545451160407.32,NaN,NaN
2004-10-29,24374030000000,19641471884625.016,23711166928325.855,NaN,NaN
2004-10-31,24374030000000,19827062398953.445,23843739542660.684,NaN,NaN
2004-11-30,24713560000000,20018689755857.23,24017703634128.547,NaN,NaN
2004-12-31,25320770000000,20226614471313.81,24278316907302.836,NaN,NaN
2005-01-31,25770850000000,20444035472438.758,24576823525842.27,NaN,NaN
2005-02-28,25935730000000,20659396042147.043,24848604820673.816,NaN,NaN
2005-03-31,26458890000000,20886827177749.12,25170661856539.055,NaN,NaN
2005-04-29,26699270000000,21114766111955.04,25476383485231.242,NaN,NaN
2005-04-30,26699270000000,21333766264427.39,25720960788184.992,NaN,NaN
2005-05-31,26924050000000,21552993077587.1,25961578630547.992,NaN,NaN
2005-06-30,27578550000000,21789289427485.65,26284972904438.395,NaN,NaN
2005-07-29,27696630000000,22020949842094.055,26567304323550.715,NaN,NaN
2005-07-31,27696630000000,22243525534560.953,26793169458840.57,NaN,NaN
2005-08-31,28128820000000,22474321395950.72,27060299567072.457,NaN,NaN
2005-09-30,28743830000000,22720184478462.457,27397005653657.965,NaN,NaN
2005-10-31,28759160000000,22957007047934.516,27669436522926.37,NaN,NaN
2005-11-30,29235040000000,23203204418603.75,27982557218341.098,NaN,NaN
2005-12-30,29875570000000,23464865813952.62,28361159774672.88,NaN,NaN
2005-12-31,29875570000000,23716265978111.344,28664041819738.305,NaN,NaN
2006-01-31,30357170000000,23976693586812.86,29002667455790.645,NaN,NaN
2006-02-28,30451630000000,24230612661839.805,29292459964632.516,NaN,NaN
2006-03-31,31049070000000,24498003145689.223,29643781971706.01,NaN,NaN
2006-04-30,31370230000000,24767502238015.137,29989071577364.81,NaN,NaN
2006-05-31,31670980000000,25038226856132.19,30325453261891.848,NaN,NaN
2006-06-30,32275640000000,25322046979421.125,30715490609513.477,NaN,NaN
2006-07-31,32401080000000,25599656117483.043,31052608487610.78,NaN,NaN
2006-08-31,32788570000000,25881574308954.297,31399800790088.625,NaN,NaN
2006-09-29,33186540000000,26168043551740.402,31757148632070.9,NaN,NaN
2006-09-30,33186540000000,26443278706574.113,32043026905656.72,NaN,NaN
2006-10-31,33274720000000,26711178365139.836,32289365524525.375,NaN,NaN
2006-11-30,33750420000000,26987227056702.98,32581576419620.3,NaN,NaN
2006-12-29,34560360000000,27284212662322.473,32977333135696.242,NaN,NaN
2006-12-31,34560360000000,27569551773603.945,33293938508556.992,NaN,NaN
2007-01-31,35149879999999.996,27866819547188.105,33665126806845.594,NaN,NaN
2007-02-28,35865930000000,28180510153180.73,34105287445476.477,NaN,NaN
2007-03-30,36409370000000,28503210539330.504,34566103956381.18,NaN,NaN
2007-03-31,36409370000000,28813256008376.367,34934757165104.945,NaN,NaN
2007-04-30,36732650000000,29123820478636.117,35294335732083.95,NaN,NaN
2007-05-31,36971820000000,29431585165748.426,35629832585667.164,NaN,NaN
2007-06-29,37783220000000,29759100257287.703,36060510068533.734,NaN,NaN
2007-06-30,37783220000000,30073771619747.008,36405052054826.984,NaN,NaN
2007-07-31,38388490000000,30399839007207.91,36801739643861.586,NaN,NaN
2007-08-31,38720520000000,30726140222611.523,37185495715089.266,NaN,NaN
2007-09-30,39309890000000,31062757860940.484,37610374572071.414,NaN,NaN
2007-10-31,39420420000000,31390509317374.19,37972383657657.13,NaN,NaN
2007-11-30,39975790000000,31727186991202.656,38373064926125.7,NaN,NaN
2007-12-31,40344220000000,32065109854292.75,38767295940900.56,NaN,NaN
2008-01-31,41781870000000,32446159271771.465,39370210752720.45,NaN,NaN
2008-02-29,42103780000000,32824889496407.88,39916924602176.36,NaN,NaN
2008-03-31,42305450000000,33196676182823.258,40394629681741.086,NaN,NaN
2008-04-30,42931370000000,33578428881536.07,40901977745392.87,NaN,NaN
2008-05-30,43622160000000,33972300690103.285,41446014196314.3,NaN,NaN
2008-05-31,43622160000000,34350726545393.35,41881243357051.44,NaN,NaN
2008-06-30,44314100000000,34741447073024.984,42367814685641.15,NaN,NaN
2008-07-31,44636220000000,35129477383886.75,42821495748512.92,NaN,NaN
2008-08-29,44884670000000,35512033957067.664,43234130598810.336,NaN,NaN
2008-08-31,44884670000000,35879588311692.46,43564238479048.266,NaN,NaN
2008-09-30,45289870000000,36248618966135.89,43909364783238.61,NaN,NaN
2008-10-31,45313330000000,36604097830208.99,44190157826590.89,NaN,NaN
2008-11-30,45864470000000,36967249680004.72,44525020261272.71,NaN,NaN
2008-12-31,47516660000000,37380952045494.73,45123348209018.17,NaN,NaN
2009-01-30,49613530000000,37860660984887.09,46021384567214.54,NaN,NaN
2009-01-31,49613530000000,38321557809009.17,46739813653771.63,NaN,NaN
2009-02-28,50670810000000,38805842208655.87,47526012923017.305,NaN,NaN
2009-03-31,53062670000000,39364933494590.93,48633344338413.84,NaN,NaN
2009-04-30,54048120000000,39940744730097.164,49716299470731.08,NaN,NaN
2009-05-29,54826350000000,40524493956367.87,50738309576584.86,NaN,NaN
2009-05-31,54826350000000,41085351056118.15,51555917661267.89,NaN,NaN
2009-06-30,56891620000000,41705204740191.945,52623058129014.31,NaN,NaN
2009-07-31,57310290000000,42317168868027.555,53560504503211.45,NaN,NaN
2009-08-31,57669900000000,42919236755555.88,54382383602569.164,NaN,NaN
2009-09-30,58540530000000,43531836490632.125,55214012882055.33,NaN,NaN
2009-10-30,58664330000000,44125267608646.555,55904076305644.266,22446857550000,NaN
2009-10-31,58664330000000,44695426918111.4,56456127044515.414,22807230410199.004,NaN
2009-11-30,59460470000000,45274448215440.36,57056995635612.33,23171939261838.816,NaN
2009-12-31,61022450000000,45892016912874.07,57850086508489.86,23548561259233.453,NaN
2010-01-29,62560930000000,46545699779035.875,58792255206791.89,23936744032773.418,NaN
2010-01-31,62560930000000,47173748022995.25,59545990165433.516,24321064291153.78,NaN
2010-02-28,63607230000000,47818198296603.28,60358238132346.81,24711971412634.84,NaN
2010-03-31,64994750000000,48491788559481.586,61285540505877.45,25112795080170.812,NaN
2010-04-30,65656119999999.99,49164899596364.664,62159656404701.96,25516211248527.32,NaN
2010-05-31,66335140000000,49838242357291.54,62994753123761.57,25922369743566.848,NaN
2010-06-30,67392170000000,50526631676613.44,63874236499009.26,26335004571989.066,NaN
2010-07-30,67405149999999.99,51188534355961.93,64580419199207.41,26743662735451.863,NaN
2010-07-31,67405149999999.99,51824480067492.836,65145365359365.92,27148254648531.945,NaN
2010-08-31,68750690000000,52488253006022.53,65866430287492.734,27562209229143.566,NaN
2010-09-30,69647149999999.99,53161150927354.984,66622574229994.19,27980964858704.33,NaN
2010-10-29,72350000000000,53913654812556.75,67768059383995.35,28422447795433.637,NaN
2010-10-31,69977670000000,54543616192456.484,68209981507196.28,28835932593489.023,NaN
2010-11-30,71033900000000,55190293988830.74,68774765205757.02,29255812866190.625,NaN
2010-12-31,72585180000000,55872446381425.62,69536848164605.62,29686950847621.562,NaN
2011-01-31,73388480000000,56559349660585.4,70307174531684.49,30121791933714.88,NaN
2011-02-28,73613090000000,57228123791542.836,70968357625347.6,30554541168205.277,NaN
2011-03-31,75813090000000,57956945995796.055,71937304100278.08,31004874987427.117,NaN
